Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time,"Avg IV"
"1,740.00",+40.96%,"1,216.70","1,223.35","1,230.00","1,344.03",0.00,unch,0,5,0.00,56.15%,Call,02/25/22,37.10%
"1,760.00",+40.28%,"1,197.50","1,204.25","1,211.00",0.00,0.00,unch,0,0,0.00,55.75%,Call,N/A,37.10%
"1,780.00",+39.61%,"1,177.30","1,184.65","1,192.00",0.00,0.00,unch,0,0,0.00,54.98%,Call,N/A,37.10%
"1,800.00",+38.93%,"1,158.20","1,165.35","1,172.50","1,151.78","1,151.78",unch,8,0,0.00,54.41%,Call,03/15/22,37.10%
"1,820.00",+38.25%,"1,140.00","1,148.50","1,157.00","1,039.90",0.00,unch,0,2,0.00,55.32%,Call,01/28/22,37.10%
"1,840.00",+37.57%,"1,120.15","1,128.83","1,137.50","1,222.00",0.00,unch,0,1,0.00,54.47%,Call,02/18/22,37.10%
"1,860.00",+36.89%,"1,102.20","1,109.10","1,116.00","1,300.00",0.00,unch,0,1,0.00,53.58%,Call,01/20/22,37.10%
"1,880.00",+36.21%,"1,083.25","1,090.13","1,097.00",0.00,0.00,unch,0,0,0.00,53.12%,Call,N/A,37.10%
"1,900.00",+35.53%,"1,063.35","1,071.43","1,079.50","1,316.15",0.00,unch,0,12,0.00,52.78%,Call,02/07/22,37.10%
"1,920.00",+34.86%,"1,045.75","1,052.38","1,059.00",886.92,0.00,unch,0,10,0.00,52.23%,Call,01/24/22,37.10%
"1,940.00",+34.18%,"1,025.85","1,034.43","1,043.00","1,273.03",0.00,unch,0,1,0.00,52.20%,Call,02/10/22,37.10%
"1,960.00",+33.50%,"1,007.00","1,014.50","1,022.00",0.00,0.00,unch,0,0,0.00,51.20%,Call,N/A,37.10%
"1,980.00",+32.82%,988.50,996.00,"1,003.50",0.00,0.00,unch,0,0,0.00,50.86%,Call,N/A,37.10%
"2,000.00",+32.14%,970.00,978.00,986.00,953.25,-30.14,-3.06%,3,5,0.60,50.72%,Call,03/15/22,37.10%
"2,020.00",+31.46%,952.00,960.25,968.50,0.00,0.00,unch,0,0,0.00,50.63%,Call,N/A,37.10%
"2,040.00",+30.78%,933.50,940.75,948.00,0.00,0.00,unch,0,0,0.00,49.79%,Call,N/A,37.10%
"2,060.00",+30.11%,915.00,922.00,929.00,0.00,0.00,unch,0,0,0.00,49.25%,Call,N/A,37.10%
"2,080.00",+29.43%,897.00,905.25,913.50,0.00,0.00,unch,0,0,0.00,49.45%,Call,N/A,37.10%
"2,100.00",+28.75%,879.50,886.25,893.00,674.47,0.00,unch,0,10,0.00,48.77%,Call,03/08/22,37.10%
"2,120.00",+28.07%,861.00,868.00,875.00,0.00,0.00,unch,0,0,0.00,48.35%,Call,N/A,37.10%
"2,140.00",+27.39%,842.35,849.68,857.00,0.00,0.00,unch,0,0,0.00,47.88%,Call,N/A,37.10%
"2,160.00",+26.71%,825.20,832.35,839.50,0.00,0.00,unch,0,0,0.00,47.71%,Call,N/A,37.10%
"2,180.00",+26.03%,809.25,816.63,824.00,0.00,0.00,unch,0,0,0.00,48.02%,Call,N/A,37.10%
"2,200.00",+25.36%,791.30,797.40,803.50,0.00,0.00,unch,0,0,0.00,47.19%,Call,N/A,37.10%
"2,220.00",+24.68%,774.05,779.78,785.50,0.00,0.00,unch,0,0,0.00,46.83%,Call,N/A,37.10%
"2,240.00",+24.00%,755.05,761.53,768.00,0.00,0.00,unch,0,0,0.00,46.27%,Call,N/A,37.10%
"2,260.00",+23.32%,737.50,744.25,751.00,0.00,0.00,unch,0,0,0.00,45.97%,Call,N/A,37.10%
"2,280.00",+22.64%,721.85,727.93,734.00,689.48,0.00,unch,0,3,0.00,45.89%,Call,03/04/22,37.10%
"2,300.00",+21.96%,703.25,709.88,716.50,714.52,0.00,unch,0,11,0.00,45.32%,Call,03/11/22,37.10%
"2,320.00",+21.28%,686.00,693.75,701.50,0.00,0.00,unch,0,2,0.00,45.23%,Call,N/A,37.10%
"2,340.00",+20.61%,669.70,677.10,684.50,0.00,0.00,unch,0,0,0.00,44.96%,Call,N/A,37.10%
"2,360.00",+19.93%,652.80,659.65,666.50,0.00,0.00,unch,0,0,0.00,44.48%,Call,N/A,37.10%
"2,380.00",+19.25%,635.00,642.50,650.00,789.90,0.00,unch,0,1,0.00,44.04%,Call,02/16/22,37.10%
"2,400.00",+18.57%,619.50,626.50,633.50,609.99,0.00,unch,0,8,0.00,43.84%,Call,03/10/22,37.10%
"2,420.00",+17.89%,603.50,610.75,618.00,641.85,0.00,unch,0,4,0.00,43.67%,Call,02/01/22,37.10%
"2,440.00",+17.21%,587.00,595.00,603.00,0.00,0.00,unch,0,1,0.00,43.45%,Call,N/A,37.10%
"2,460.00",+16.53%,571.50,578.50,585.50,562.36,0.00,unch,0,3,0.00,43.05%,Call,03/10/22,37.10%
"2,480.00",+15.86%,555.30,563.15,571.00,611.50,0.00,unch,0,21,0.00,42.86%,Call,03/03/22,37.10%
"2,500.00",+15.18%,540.60,548.80,557.00,525.78,0.00,unch,0,57,0.00,42.83%,Call,03/14/22,37.10%
"2,520.00",+14.50%,525.65,532.33,539.00,530.28,0.00,unch,0,2,0.00,42.35%,Call,03/10/22,37.10%
"2,540.00",+13.82%,511.00,518.00,525.00,500.35,0.00,unch,0,1,0.00,42.25%,Call,03/10/22,37.10%
"2,560.00",+13.14%,495.00,501.75,508.50,0.00,0.00,unch,0,0,0.00,41.76%,Call,N/A,37.10%
"2,580.00",+12.46%,480.50,488.50,496.50,470.90,0.00,unch,0,3,0.00,41.80%,Call,03/10/22,37.10%
"2,600.00",+11.78%,465.50,471.55,477.60,482.10,0.00,unch,0,28,0.00,41.12%,Call,03/11/22,37.10%
"2,620.00",+11.11%,452.15,458.58,465.00,485.20,0.00,unch,0,8,0.00,41.13%,Call,03/03/22,37.10%
"2,640.00",+10.43%,437.95,444.48,451.00,0.00,0.00,unch,0,0,0.00,40.91%,Call,N/A,37.10%
"2,660.00",+9.75%,423.95,430.73,437.50,533.75,0.00,unch,0,1,0.00,40.71%,Call,02/04/22,37.10%
"2,680.00",+9.07%,409.00,417.18,425.35,312.80,0.00,unch,0,6,0.00,40.51%,Call,03/09/22,37.10%
"2,700.00",+8.39%,399.25,405.63,412.00,334.41,0.00,unch,0,28,0.00,40.61%,Call,03/14/22,37.10%
"2,720.00",+7.71%,382.00,390.50,399.00,375.90,52.90,+16.38%,2,9,0.22,40.09%,Call,03/15/22,37.10%
"2,740.00",+7.03%,369.00,375.98,382.95,305.60,0.00,unch,0,10,0.00,39.63%,Call,03/14/22,37.10%
"2,760.00",+6.36%,356.00,363.50,371.00,303.60,0.00,unch,0,17,0.00,39.47%,Call,03/14/22,37.10%
"2,780.00",+5.68%,343.00,350.13,357.25,296.00,0.00,unch,0,5,0.00,39.14%,Call,03/14/22,37.10%
"2,800.00",+5.00%,335.15,339.98,344.80,335.00,57.70,+20.81%,7,222,0.03,39.28%,Call,03/15/22,37.10%
"2,820.00",+4.32%,323.50,328.10,332.70,293.00,26.00,+9.74%,1,85,0.01,39.10%,Call,03/15/22,37.10%
"2,840.00",+3.64%,311.55,316.20,320.85,290.22,0.00,unch,0,66,0.00,38.90%,Call,03/10/22,37.10%
"2,860.00",+2.96%,295.00,303.70,312.40,246.95,-90.55,-26.83%,1,14,0.07,38.56%,Call,03/15/22,37.10%
"2,880.00",+2.28%,288.65,293.17,297.70,240.00,0.00,unch,0,32,0.00,38.49%,Call,03/14/22,37.10%
"2,900.00",+1.61%,272.50,280.50,288.50,287.80,57.80,+25.13%,61,147,0.41,39.16%,Call,03/15/22,37.10%
"2,920.00",+0.93%,261.50,270.25,279.00,257.35,37.33,+16.97%,4,32,0.13,37.96%,Call,03/15/22,37.10%
"2,940.00",+0.25%,250.00,257.55,265.10,243.96,-9.84,-3.88%,6,18,0.33,37.47%,Call,03/15/22,37.10%
"2,960.00",-0.43%,240.70,249.35,258.00,250.25,4.03,+1.64%,79,183,0.43,37.73%,Call,03/15/22,37.10%
"2,980.00",-1.11%,230.50,238.75,247.00,241.47,46.47,+23.83%,3,17,0.18,37.74%,Call,03/15/22,37.10%
"3,000.00",-1.79%,220.00,228.50,237.00,235.21,57.18,+32.12%,17,408,0.04,38.09%,Call,03/15/22,37.10%
"3,100.00",-5.18%,177.40,184.45,191.50,184.80,40.80,+28.33%,4,328,0.01,36.48%,Call,03/15/22,37.10%
"3,200.00",-8.57%,143.85,147.60,151.35,146.75,35.70,+32.15%,27,352,0.08,35.81%,Call,03/15/22,37.10%
"3,300.00",-11.97%,107.50,113.03,118.55,105.85,25.02,+30.95%,94,296,0.32,34.92%,Call,03/15/22,37.10%
"3,400.00",-15.36%,83.50,87.70,91.90,87.69,22.69,+34.91%,63,503,0.13,34.53%,Call,03/15/22,37.10%
"3,440.00",-16.72%,75.50,79.18,82.85,73.25,14.99,+25.73%,1,127,0.01,34.43%,Call,03/15/22,37.10%
"3,445.00",-16.89%,74.50,78.13,81.75,76.91,18.86,+32.49%,2,34,0.06,34.19%,Call,03/15/22,37.10%
"3,450.00",-17.06%,71.80,76.23,80.65,75.86,18.65,+32.60%,2,62,0.03,34.17%,Call,03/15/22,37.10%
"3,455.00",-17.22%,71.40,76.20,81.00,35.80,0.00,unch,0,22,0.00,34.40%,Call,03/09/22,37.10%
"3,460.00",-17.39%,70.50,74.98,79.45,65.00,10.25,+18.72%,1,79,0.01,34.34%,Call,03/15/22,37.10%
"3,465.00",-17.56%,71.40,75.20,79.00,52.20,0.00,unch,0,8,0.00,34.56%,Call,03/14/22,37.10%
"3,470.00",-17.73%,70.40,74.20,78.00,72.18,0.00,unch,0,24,0.00,34.54%,Call,03/10/22,37.10%
"3,475.00",-17.90%,69.45,72.50,75.55,68.20,0.00,unch,0,11,0.00,34.39%,Call,03/10/22,37.10%
"3,480.00",-18.07%,68.50,71.55,74.60,66.68,0.00,unch,0,30,0.00,34.37%,Call,03/10/22,37.10%
"3,485.00",-18.24%,67.60,70.60,73.60,39.85,0.00,unch,0,20,0.00,34.36%,Call,03/08/22,37.10%
"3,490.00",-18.41%,66.65,69.65,72.65,71.00,24.26,+51.90%,7,28,0.25,34.60%,Call,03/15/22,37.10%
"3,495.00",-18.58%,65.75,69.63,73.50,66.75,0.00,unch,0,22,0.00,34.50%,Call,03/14/22,37.10%
"3,500.00",-18.75%,64.85,67.43,70.00,70.15,20.56,+41.46%,86,260,0.33,34.23%,Call,03/15/22,37.10%
"3,505.00",-18.92%,63.95,66.90,69.85,68.00,0.00,unch,0,152,0.00,34.29%,Call,03/10/22,37.10%
"3,510.00",-19.09%,63.10,66.03,68.95,150.00,0.00,unch,0,6,0.00,34.28%,Call,02/07/22,37.10%
"3,515.00",-19.26%,62.20,65.10,68.00,66.15,0.00,unch,0,3,0.00,34.26%,Call,03/11/22,37.10%
"3,520.00",-19.43%,61.35,64.30,67.25,68.15,0.00,unch,0,14,0.00,34.26%,Call,03/10/22,37.10%
"3,525.00",-19.60%,60.50,63.43,66.35,61.06,0.00,unch,0,9,0.00,34.24%,Call,03/11/22,37.10%
"3,530.00",-19.77%,59.85,63.43,67.00,60.47,0.00,unch,0,4,0.00,34.40%,Call,03/10/22,37.10%
"3,535.00",-19.94%,58.85,61.72,64.60,71.05,0.00,unch,0,2,0.00,34.22%,Call,02/22/22,37.10%
"3,540.00",-20.11%,58.05,60.53,63.00,25.95,0.00,unch,0,1,0.00,34.13%,Call,03/09/22,37.10%
"3,545.00",-20.28%,57.25,60.95,64.65,54.70,0.00,unch,0,27,0.00,34.37%,Call,03/10/22,37.10%
"3,550.00",-20.45%,55.00,59.25,63.50,55.90,12.42,+28.56%,2,84,0.02,33.46%,Call,03/15/22,37.10%
"3,555.00",-20.62%,55.65,58.35,61.05,27.76,0.00,unch,0,4,0.00,34.14%,Call,03/09/22,37.10%
"3,560.00",-20.79%,53.95,58.23,62.50,42.25,0.00,unch,0,10,0.00,34.27%,Call,03/14/22,37.10%
"3,565.00",-20.96%,54.10,56.78,59.45,63.00,0.00,unch,0,15,0.00,34.12%,Call,02/24/22,37.10%
"3,570.00",-21.13%,53.35,56.00,58.65,42.90,0.00,unch,0,8,0.00,34.10%,Call,03/04/22,37.10%
"3,575.00",-21.30%,51.00,55.68,60.35,63.63,0.00,unch,0,6,0.00,34.18%,Call,02/01/22,37.10%
"3,580.00",-21.47%,50.50,53.13,55.75,48.90,11.50,+30.75%,4,4,1.00,33.78%,Call,03/15/22,37.10%
"3,585.00",-21.64%,51.15,53.78,56.40,47.83,0.00,unch,0,3,0.00,34.07%,Call,01/25/22,37.10%
"3,590.00",-21.81%,50.55,52.85,55.15,47.30,0.00,unch,0,13,0.00,34.02%,Call,03/14/22,37.10%
"3,595.00",-21.97%,48.00,52.00,56.00,50.05,-12.50,-19.98%,1,5,0.20,33.54%,Call,03/15/22,37.10%
"3,600.00",-22.14%,47.50,51.53,55.55,52.96,15.03,+39.63%,77,254,0.30,34.34%,Call,03/15/22,37.10%
"3,605.00",-22.31%,48.30,50.95,53.60,47.20,0.00,unch,0,12,0.00,34.04%,Call,03/10/22,37.10%
"3,610.00",-22.48%,47.70,50.25,52.80,26.00,0.00,unch,0,4,0.00,34.03%,Call,03/08/22,37.10%
"3,615.00",-22.65%,47.10,49.38,51.65,122.39,0.00,unch,0,4,0.00,33.98%,Call,02/04/22,37.10%
"3,620.00",-22.82%,45.00,48.08,51.15,57.18,0.00,unch,0,8,0.00,33.82%,Call,02/22/22,37.10%
"3,625.00",-22.99%,45.70,49.35,53.00,46.94,0.00,unch,0,18,0.00,34.26%,Call,03/11/22,37.10%
"3,630.00",-23.16%,45.40,47.53,49.65,46.30,0.00,unch,0,6,0.00,33.98%,Call,03/11/22,37.10%
"3,635.00",-23.33%,42.50,45.75,49.00,46.50,0.00,unch,0,3,0.00,33.71%,Call,03/11/22,37.10%
"3,640.00",-23.50%,44.15,46.25,48.35,22.40,0.00,unch,0,13,0.00,33.97%,Call,03/08/22,37.10%
"3,645.00",-23.67%,41.80,44.75,47.70,33.65,-16.35,-32.70%,2,16,0.13,33.76%,Call,03/15/22,37.10%
"3,650.00",-23.84%,42.90,45.00,47.10,43.70,-0.43,-0.97%,16,38,0.42,33.64%,Call,03/15/22,37.10%
"3,655.00",-24.01%,42.30,44.38,46.45,42.50,-164.50,-79.47%,2,1,2.00,33.49%,Call,03/15/22,37.10%
"3,660.00",-24.18%,41.70,44.03,46.35,39.97,0.00,unch,0,4,0.00,34.00%,Call,01/25/22,37.10%
"3,665.00",-24.35%,41.10,44.25,47.40,41.60,0.00,unch,0,9,0.00,34.20%,Call,03/11/22,37.10%
"3,670.00",-24.52%,40.55,43.90,47.25,38.70,0.00,unch,0,2,0.00,34.25%,Call,03/10/22,37.10%
"3,675.00",-24.69%,39.95,42.03,44.10,31.61,0.81,+2.63%,1,7,0.14,33.93%,Call,03/15/22,37.10%
"3,680.00",-24.86%,39.40,41.45,43.50,79.48,0.00,unch,0,3,0.00,33.92%,Call,02/10/22,37.10%
"3,685.00",-25.03%,38.85,40.90,42.95,49.50,0.00,unch,0,2,0.00,33.92%,Call,02/25/22,37.10%
"3,690.00",-25.20%,38.30,41.28,44.25,43.65,0.00,unch,0,26,0.00,34.15%,Call,03/10/22,37.10%
"3,695.00",-25.37%,37.75,39.80,41.85,43.10,0.00,unch,0,5,0.00,33.91%,Call,03/10/22,37.10%
"3,700.00",-25.54%,37.20,39.45,41.70,40.40,13.98,+52.91%,12,139,0.09,34.20%,Call,03/15/22,37.10%
"3,705.00",-25.71%,36.65,39.72,42.80,30.91,0.00,unch,0,12,0.00,34.16%,Call,02/24/22,37.10%
"3,710.00",-25.88%,36.15,39.55,42.95,41.20,0.00,unch,0,6,0.00,34.25%,Call,02/25/22,37.10%
"3,715.00",-26.05%,35.65,37.88,40.10,87.40,0.00,unch,0,2,0.00,33.95%,Call,02/09/22,37.10%
"3,720.00",-26.22%,35.15,37.35,39.55,0.00,0.00,unch,0,0,0.00,33.94%,Call,N/A,37.10%
"3,725.00",-26.39%,34.65,36.65,38.65,36.30,0.00,unch,0,105,0.00,33.88%,Call,03/11/22,37.10%
"3,730.00",-26.56%,34.15,37.35,40.55,37.45,0.00,unch,0,4,0.00,34.20%,Call,03/10/22,37.10%
"3,735.00",-26.72%,33.65,37.08,40.50,14.65,0.00,unch,0,3,0.00,34.26%,Call,03/09/22,37.10%
"3,740.00",-26.89%,33.15,35.35,37.55,25.06,0.00,unch,0,13,0.00,33.92%,Call,03/14/22,37.10%
"3,745.00",-27.06%,32.70,34.70,36.70,35.95,0.00,unch,0,21,0.00,33.87%,Call,03/10/22,37.10%
"3,750.00",-27.23%,32.25,34.43,36.60,33.30,9.50,+39.92%,2,92,0.02,33.61%,Call,03/15/22,37.10%
"3,755.00",-27.40%,29.00,33.68,38.35,34.35,0.35,+1.03%,20,42,0.48,34.03%,Call,03/15/22,37.10%
"3,760.00",-27.57%,31.30,33.48,35.65,14.40,0.00,unch,0,58,0.00,33.92%,Call,03/09/22,37.10%
"3,800.00",-28.93%,27.90,29.88,31.85,29.00,7.35,+33.95%,7,93,0.08,33.60%,Call,03/15/22,37.10%
"3,900.00",-32.32%,20.20,23.75,27.30,22.49,5.49,+32.29%,8,84,0.10,33.80%,Call,03/15/22,37.10%
"4,000.00",-35.72%,15.75,17.65,19.55,17.95,4.88,+37.34%,18,409,0.04,34.22%,Call,03/15/22,37.10%
"4,100.00",-39.11%,11.60,13.58,15.55,13.60,2.95,+27.70%,3,70,0.04,34.25%,Call,03/15/22,37.10%
"4,200.00",-42.50%,8.95,10.80,12.65,10.85,3.05,+39.10%,2,135,0.01,34.64%,Call,03/15/22,37.10%
"4,300.00",-45.89%,8.05,9.23,10.40,8.50,0.30,+3.66%,2,119,0.02,34.89%,Call,03/15/22,37.10%
"4,400.00",-49.29%,6.50,7.60,8.70,5.95,0.00,unch,0,56,0.00,35.90%,Call,03/14/22,37.10%
"4,500.00",-52.68%,5.35,6.35,7.35,6.00,1.80,+42.86%,6,475,0.01,36.12%,Call,03/15/22,37.10%
"4,600.00",-56.07%,4.45,4.73,5.00,4.90,0.57,+13.16%,2,152,0.01,36.52%,Call,03/15/22,37.10%
"4,700.00",-59.47%,3.75,6.45,9.15,4.15,0.00,unch,0,174,0.00,39.55%,Call,03/14/22,37.10%
"4,800.00",-62.86%,3.35,4.10,4.85,3.30,-0.30,-8.33%,1,104,0.01,38.39%,Call,03/15/22,37.10%
"4,900.00",-66.25%,2.80,3.55,4.30,3.11,0.53,+20.54%,11,75,0.15,38.30%,Call,03/15/22,37.10%
"5,000.00",-69.65%,1.57,2.26,2.94,2.94,0.67,+29.52%,11,252,0.04,39.29%,Call,03/15/22,37.10%
"5,100.00",-73.04%,0.97,2.31,3.65,2.13,-0.15,-6.58%,1,78,0.01,38.95%,Call,03/15/22,37.10%
"5,200.00",-76.43%,1.94,2.20,2.46,1.89,0.00,unch,0,56,0.00,40.27%,Call,03/14/22,37.10%
"5,300.00",-79.82%,0.41,1.78,3.15,1.84,0.00,unch,0,98,0.00,40.41%,Call,03/14/22,37.10%
"5,400.00",-83.22%,1.69,1.87,2.05,1.95,0.20,+11.43%,16,354,0.05,41.94%,Call,03/15/22,37.10%
"1,360.00",-53.86%,3.50,3.90,4.30,4.50,0.00,unch,0,3,0.00,61.98%,Put,03/14/22,37.10%
"1,380.00",-53.18%,3.75,4.15,4.55,0.00,0.00,unch,0,0,0.00,61.45%,Put,N/A,37.10%
"1,400.00",-52.50%,3.80,4.48,5.15,4.00,0.00,unch,0,215,0.00,61.05%,Put,03/11/22,37.10%
"1,420.00",-51.82%,3.15,4.05,4.95,3.15,0.00,unch,0,7,0.00,59.13%,Put,02/18/22,37.10%
"1,440.00",-51.14%,3.40,4.33,5.25,7.83,0.00,unch,0,1,0.00,58.65%,Put,02/03/22,37.10%
"1,450.00",-50.80%,3.55,4.50,5.45,3.20,0.00,unch,0,1,0.00,58.48%,Put,02/25/22,37.10%
"1,460.00",-50.46%,3.70,4.65,5.60,0.00,0.00,unch,0,3,0.00,58.25%,Put,N/A,37.10%
"1,480.00",-49.79%,4.05,5.30,6.55,4.15,0.00,unch,0,7,0.00,58.37%,Put,02/28/22,37.10%
"1,500.00",-49.11%,4.35,5.38,6.40,6.62,0.00,unch,0,15,0.00,57.47%,Put,03/14/22,37.10%
"1,520.00",-48.43%,4.95,5.88,6.80,6.55,-0.55,-7.75%,1,1,1.00,58.24%,Put,03/15/22,37.10%
"1,540.00",-47.75%,5.10,6.45,7.80,3.37,0.00,unch,0,4,0.00,57.07%,Put,02/08/22,37.10%
"1,550.00",-47.41%,5.30,6.38,7.45,0.00,0.00,unch,0,0,0.00,56.45%,Put,N/A,37.10%
"1,560.00",-47.07%,5.70,7.00,8.30,9.40,-1.30,-12.15%,6,6,1.00,56.81%,Put,03/15/22,37.10%
"1,580.00",-46.39%,5.95,7.38,8.80,6.10,0.00,unch,0,1,0.00,56.28%,Put,02/22/22,37.10%
"1,600.00",-45.71%,6.45,7.57,8.70,7.29,0.00,unch,0,18,0.00,55.52%,Put,03/11/22,37.10%
"1,620.00",-45.03%,6.95,8.08,9.20,8.80,0.90,+11.39%,3,3,1.00,55.95%,Put,03/15/22,37.10%
"1,640.00",-44.36%,7.45,8.63,9.80,8.40,0.00,unch,0,10,0.00,54.74%,Put,03/11/22,37.10%
"1,650.00",-44.02%,7.75,8.95,10.15,5.05,0.00,unch,0,11,0.00,54.60%,Put,02/14/22,37.10%
"1,660.00",-43.68%,8.00,9.23,10.45,0.00,0.00,unch,0,1,0.00,54.39%,Put,N/A,37.10%
"1,680.00",-43.00%,8.60,11.55,14.50,12.00,0.00,unch,0,16,0.00,55.64%,Put,03/10/22,37.10%
"1,700.00",-42.32%,9.25,10.83,12.40,11.60,1.01,+9.54%,1,21,0.05,54.67%,Put,03/15/22,37.10%
"1,720.00",-41.64%,9.90,11.18,12.45,6.00,0.00,unch,0,1,0.00,53.29%,Put,02/08/22,37.10%
"1,740.00",-40.96%,10.60,12.23,13.85,15.95,0.00,unch,0,16,0.00,53.20%,Put,03/07/22,37.10%
"1,760.00",-40.28%,11.30,12.65,14.00,6.30,0.00,unch,0,4,0.00,52.55%,Put,02/10/22,37.10%
"1,780.00",-39.61%,12.05,13.75,15.45,6.85,0.00,unch,0,43,0.00,52.43%,Put,02/08/22,37.10%
"1,800.00",-38.93%,12.90,14.60,16.30,14.00,0.00,unch,0,201,0.00,52.06%,Put,03/11/22,37.10%
"1,820.00",-38.25%,13.75,15.48,17.20,18.70,0.00,unch,0,48,0.00,51.69%,Put,03/04/22,37.10%
"1,840.00",-37.57%,14.65,16.45,18.25,10.09,0.00,unch,0,82,0.00,51.35%,Put,02/28/22,37.10%
"1,860.00",-36.89%,15.55,17.35,19.15,18.75,-1.45,-7.18%,3,34,0.09,51.81%,Put,03/15/22,37.10%
"1,880.00",-36.21%,16.55,18.03,19.50,11.47,0.00,unch,0,166,0.00,50.37%,Put,02/28/22,37.10%
"1,900.00",-35.53%,17.60,20.55,23.50,22.05,0.00,unch,0,30,0.00,50.85%,Put,03/10/22,37.10%
"1,920.00",-34.86%,18.70,21.85,25.00,32.45,0.00,unch,0,27,0.00,50.56%,Put,03/07/22,37.10%
"1,940.00",-34.18%,19.90,21.45,23.00,37.72,0.00,unch,0,14,0.00,49.35%,Put,01/24/22,37.10%
"1,960.00",-33.50%,21.15,23.15,25.15,15.45,0.00,unch,0,14,0.00,49.24%,Put,02/18/22,37.10%
"1,980.00",-32.82%,20.00,23.25,26.50,24.15,0.00,unch,0,25,0.00,48.29%,Put,03/10/22,37.10%
"2,000.00",-32.14%,23.90,25.90,27.90,26.95,-6.05,-18.33%,4,129,0.03,49.06%,Put,03/15/22,37.10%
"2,020.00",-31.46%,25.35,28.15,30.95,29.35,2.15,+7.90%,2,28,0.07,49.11%,Put,03/15/22,37.10%
"2,040.00",-30.78%,26.95,28.60,30.25,31.60,3.15,+11.07%,2,30,0.07,47.77%,Put,03/15/22,37.10%
"2,060.00",-30.11%,28.70,30.17,31.65,35.22,0.00,unch,0,28,0.00,47.43%,Put,03/10/22,37.10%
"2,080.00",-29.43%,30.50,32.48,34.45,32.20,3.35,+11.61%,3,27,0.11,47.25%,Put,03/15/22,37.10%
"2,100.00",-28.75%,32.10,35.55,39.00,32.86,0.00,unch,0,96,0.00,47.52%,Put,03/11/22,37.10%
"2,120.00",-28.07%,33.95,36.73,39.50,35.19,0.00,unch,0,17,0.00,46.93%,Put,03/10/22,37.10%
