Type,Strike,Moneyness,Open,High,Low,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Time
Put,245.00,-25.53%,9.70,10.30,9.70,10.25,0.55,+5.67%,21,"1,779",0.01,33.17%,01/04/22
Put,250.00,-24.01%,10.60,11.40,10.40,11.35,0.85,+8.10%,62,"3,994",0.02,32.97%,01/04/22
Put,255.00,-22.49%,11.65,11.65,11.65,11.65,0.00,unch,0,"2,816",0.00,32.71%,01/03/22
Put,260.00,-20.98%,12.90,13.48,12.90,13.48,0.78,+6.14%,37,"3,522",0.01,32.23%,01/04/22
Put,265.00,-19.46%,14.36,14.55,14.36,14.55,0.80,+5.82%,32,"2,466",0.01,31.76%,01/04/22
Put,270.00,-17.94%,14.50,16.34,14.50,16.34,1.74,+11.92%,2,"2,520",0.00,31.96%,01/04/22
Put,275.00,-16.42%,16.90,17.32,16.90,17.32,1.47,+9.27%,13,"5,335",0.00,31.25%,01/04/22
Put,280.00,-14.90%,18.20,18.75,18.20,18.50,0.85,+4.82%,33,"2,399",0.01,30.69%,01/04/22
Put,285.00,-13.38%,18.80,20.06,18.80,20.06,1.41,+7.56%,3,"2,569",0.00,30.41%,01/04/22
Put,290.00,-11.86%,21.12,21.70,21.12,21.55,1.15,+5.64%,12,"2,351",0.01,29.99%,01/04/22
Put,295.00,-10.34%,22.00,22.00,21.70,21.70,0.00,unch,0,"1,890",0.00,29.65%,01/03/22
Put,300.00,-8.82%,23.80,25.03,23.80,24.85,1.38,+5.88%,88,"5,037",0.02,29.23%,01/04/22
Put,305.00,-7.30%,25.95,25.95,25.10,25.10,0.00,unch,0,904,0.00,29.35%,01/03/22
Put,310.00,-5.78%,26.98,28.69,26.60,28.69,1.54,+5.67%,7,"1,498",0.00,28.62%,01/04/22
Put,315.00,-4.26%,30.60,31.28,30.60,31.28,2.18,+7.49%,2,"1,331",0.00,28.72%,01/04/22
Put,320.00,-2.74%,33.30,33.30,33.30,33.30,2.20,+7.07%,4,"1,997",0.00,28.30%,01/04/22
Put,325.00,-1.22%,33.74,36.00,33.74,35.27,1.37,+4.04%,38,453,0.08,27.77%,01/04/22
Put,330.00,+0.30%,37.25,38.80,37.25,37.42,1.77,+4.96%,20,"1,970",0.01,27.31%,01/04/22
Put,335.00,+1.82%,38.10,40.50,38.10,40.50,2.61,+6.89%,7,943,0.01,27.47%,01/04/22
Put,340.00,+3.34%,42.83,42.83,42.10,42.10,1.52,+3.75%,2,817,0.00,26.44%,01/04/22
Put,345.00,+4.86%,45.00,45.00,44.25,44.25,0.00,unch,0,497,0.00,26.54%,01/03/22
Put,350.00,+6.38%,49.20,49.20,47.85,47.85,1.15,+2.46%,5,"1,267",0.00,26.07%,01/04/22
Put,355.00,+7.90%,45.10,45.10,45.10,45.10,0.00,unch,0,153,0.00,26.11%,12/28/21
Put,360.00,+9.42%,54.59,54.59,54.55,54.55,4.00,+7.91%,2,369,0.01,26.12%,01/04/22
Put,365.00,+10.94%,51.84,51.84,51.84,51.84,0.00,unch,0,207,0.00,25.76%,12/10/21
Put,370.00,+12.46%,54.82,54.82,54.82,54.82,0.00,unch,0,335,0.00,25.47%,12/10/21
Put,375.00,+13.98%,64.00,65.60,64.00,65.60,8.00,+13.89%,51,73,0.70,25.25%,01/04/22
Put,380.00,+15.50%,58.50,58.50,58.50,58.50,0.00,unch,0,61,0.00,25.04%,11/22/21
Put,385.00,+17.02%,67.25,67.25,67.25,67.25,0.00,unch,0,112,0.00,25.34%,11/12/21
Put,390.00,+18.54%,69.90,69.90,69.90,69.90,0.00,unch,0,135,0.00,25.11%,12/31/21
Put,395.00,+20.06%,82.37,82.37,82.37,82.37,0.00,unch,0,86,0.00,24.60%,12/14/21
Put,400.00,+21.58%,80.50,80.50,80.50,80.50,0.00,unch,0,499,0.00,24.43%,01/03/22
Put,405.00,+23.10%,90.22,90.22,90.22,90.22,0.00,unch,0,134,0.00,23.89%,12/14/21
Put,410.00,+24.62%,81.75,81.75,81.75,81.75,0.00,unch,0,108,0.00,23.76%,12/27/21
Put,415.00,+26.14%,89.00,89.00,89.00,89.00,0.00,unch,0,252,0.00,24.06%,12/31/21
Put,420.00,+27.66%,101.60,101.60,101.60,101.60,0.00,unch,0,512,0.00,23.96%,12/02/21
Put,425.00,+29.18%,99.55,99.55,99.55,99.55,0.00,unch,0,5,0.00,23.83%,11/08/21
Put,430.00,+30.70%,104.95,104.95,104.85,104.85,0.00,unch,0,103,0.00,23.90%,01/03/22
Put,435.00,+32.21%,116.09,116.09,116.09,116.09,0.00,unch,0,172,0.00,23.49%,12/06/21
Put,440.00,+33.73%,142.70,142.75,142.65,142.65,0.00,unch,0,164,0.00,22.58%,09/17/21
Put,450.00,+36.77%,117.45,117.45,114.00,114.00,0.00,unch,0,921,0.00,22.73%,12/10/21
Put,460.00,+39.81%,136.60,136.60,136.60,136.60,0.00,unch,0,6,0.00,22.29%,12/15/21
Put,470.00,+42.85%,137.10,137.10,137.10,137.10,0.00,unch,0,1,0.00,23.45%,11/16/21
Put,480.00,+45.89%,163.20,163.20,163.20,163.20,0.00,unch,0,2,0.00,22.37%,12/03/21
Put,490.00,+48.93%,158.00,158.15,158.00,158.15,0.00,unch,0,2,0.00,21.54%,11/09/21
Put,500.00,+51.97%,168.40,168.40,168.40,168.40,0.00,unch,0,99,0.00,22.17%,12/23/21
Put,520.00,+58.05%,189.25,189.40,189.25,189.40,0.00,unch,0,1,0.00,19.93%,12/08/21
"Downloaded from Barchart.com as of 01-05-2022 08:38am CST"
